Info 0    [18:15:10.719] Starting TS Server
Info 66   [18:18:45.46] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 67   [18:18:45.48] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 17 structureChanged: false Elapsed: 2ms
Info 68   [18:18:45.48] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 69   [18:18:45.347] getCompletionData: Get current token: 0
Info 70   [18:18:45.347] getCompletionData: Is inside comment: 0
Info 71   [18:18:45.347] getCompletionData: Get previous token 1: 0
Info 72   [18:18:45.347] getCompletionsAtPosition: isCompletionListBlocker: 0
Info 73   [18:18:45.348] getCompletionData: Semantic work: 1
Info 74   [18:18:45.351] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 3
Info 75   [18:18:45.926] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 76   [18:18:45.928] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 18 structureChanged: false Elapsed: 2ms
Info 77   [18:18:45.928] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 78   [18:18:46.318] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 79   [18:18:46.319] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 19 structureChanged: false Elapsed: 1ms
Info 80   [18:18:46.324] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 81   [18:18:46.782] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 82   [18:18:46.784] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 20 structureChanged: false Elapsed: 2ms
Info 83   [18:18:46.784] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 84   [18:18:47.25] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 85   [18:18:47.27] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 21 structureChanged: false Elapsed: 2ms
Info 86   [18:18:47.27] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 87   [18:18:47.43] getCompletionData: Get current token: 0
Info 88   [18:18:47.43] getCompletionData: Is inside comment: 0
Info 89   [18:18:47.43] getCompletionData: Get previous token 1: 0
Info 90   [18:18:47.43] getCompletionsAtPosition: isCompletionListBlocker: 0
